Name,Gender,Origin,Meaning,Description,Source_url
Aadi,Female,French,Beginning,The name Aadi means Beginning and is of French origin. Aadi is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/aadi
Aafje,Female,Dutch,Unknown,The name Aafje means Unknown and is of Dutch origin. Aafje is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/aafje
Aaid,Female,American,Unknown,The name Aaid means Unknown and is of American origin. Aaid is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/aaid
Aalam,Male,Arabic,"Universe, Entire World","The name Aalam means Universe, Entire World and is of Arabic origin. Aalam is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/aalam
Aali,Male,Arabic,"Lofty, Enlightened","The name Aali means Lofty, Enlightened and is of Arabic origin. Aali is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/aali
Aaliyah,Female,Arabic,"High, Sublime","The name Aaliyah means High, Sublime and is of Arabic origin. Aaliyah is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/aaliyah
Aaralyn,Female,American,Created Name,The name Aaralyn means Created Name and is of American origin. Aaralyn is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/aaralyn
Aarav,Male,Indian,Peaceful; Calm Sound,The name Aarav means Peaceful; Calm Sound and is of Indian origin. Aarav is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/aarav
Aaron,Male,Hebrew,"Exalted, Strong","The name Aaron means Exalted, Strong and is of Hebrew origin. Aaron is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/aaron
Aaryan,Male,Indian,Indo-European,The name Aaryan means Indo-European and is of Indian origin. Aaryan is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/aaryan
Aba,Male,Turkish,Father,The name Aba means Father and is of Turkish origin. Aba is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/aba
Ababuo,Female,African,Child Keeps Returning,The name Ababuo means Child Keeps Returning and is of African origin. Ababuo is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/ababuo
Abana,Female,Hebrew,"Constant, Evelasting","The name Abana means Constant, Evelasting and is of Hebrew origin. Abana is a name that's been used by parents who are considering baby names for girls.",https://www.babynames.com/name/abana
Abarne,Female,Spanish,Branches,The name Abarne means Branches and is of Spanish origin. Abarne is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abarne
Abay,Male,Turkish,Talented,The name Abay means Talented and is of Turkish origin. Abay is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abay
Abba,Male,Hebrew,Father,The name Abba means Father and is of Hebrew origin. Abba is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abba
Abbas,Male,Arabic,"Austere, Sober","The name Abbas means Austere, Sober and is of Arabic origin. Abbas is a name that's been used by parents who are considering baby names for boys.",https://www.babynames.com/name/abbas
Abbatha,Female,American,Combination Of Abby And Tabitha,The name Abbatha means Combination Of Abby And Tabitha and is of American origin. Abbatha is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abbatha
Abbey,Female,English,Nunnery,The name Abbey means Nunnery and is of English origin. Abbey is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abbey
Abbie,Female,English,Joy Of The Father,The name Abbie means Joy Of The Father and is of English origin. Abbie is a name that's been used by parents who are considering baby names for girls.,https://www.babynames.com/name/abbie
Abbott,Male,English,Head Of A Monastery,The name Abbott means Head Of A Monastery and is of English origin. Abbott is a name that's been used by parents who are considering baby names for boys.,https://www.babynames.com/name/abbott
